duration,bytes_sent,bytes_received,packets,label
7,9454,1441,1971,1
4,3443,1991,28,0
4,5559,873,16,0
17,1708,573,18,0
12,2254,209,37,0
16,4748,1148,22,0
15,3223,1767,33,0
3,3756,2461,40,0
16,399,3511,44,0
26,1990,3163,52,0
11,1427,378,42,0
3,3437,575,20,0
21,310,1290,15,0
31,5651,3364,38,0
20,1210,721,59,0
12,1865,254,35,0
3,2265,1346,34,0
8,318,737,28,0
17,778,576,37,0
240,342,273,5,1
5,2042,648,14,0
1,443,1274,31,0
252,262,179,8,1
35,1020,1140,62,0
210,150,98,10,1
13,429,436,58,0
16,1688,1354,23,0
2,2018,1304,15,0
14,1874,3007,18,0
2,2851,1500,7,0
6,2325,1200,51,0
21,935,581,56,0
6,1450,2874,39,0
16,327,1279,67,0
37,3247,1114,24,0
6,1552,344,25,0
12,415,860,23,0
5,2346,2137,8,0
14,719,267,37,0
5,4286,4654,33,0
4,2184,2902,4,0
224,232,126,8,1
1,1560,208,48,0
7,500,177,91,0
16,1179,861,19,0
17,2165,663,36,0
3,919,1118,33,0
23,691,918,18,0
1,2297,998,65,0
5,1465,75,38,0
6,511,678,25,0
16,2786,756,30,0
19,2348,2090,28,0
11,606,4327,73,0
10,1589,1941,29,0
15,3483,380,12,0
11,426,3833,57,0
11,1346,712,46,0
1,2380,182,38,0
8,2202,1857,2,0
10,1079,246,2,0
14,1586,1290,8,0
10,4493,1260,4,0
6,450,1960,3,0
8,96352,2978,384,1
8,4024,3997,1167,1
15,1533,1151,74,0
4,2304,1633,23,0
11,2115,942,31,0
8,1209,2366,5,0
18,1597,637,35,0
16,2178,999,55,0
6,1453,1173,13,0
39,637,3310,51,0
12,2535,1908,5,0
36,1037,2721,10,0
8,1274,861,37,0
2,855,478,71,0
4,564,1839,58,0
4,1567,3189,19,0
14,2749,1486,66,0
34,960,2257,87,0
29,1346,245,21,0
21,1355,2367,17,0
14,3451,450,26,0
11,3121,3974,38,0
35,4301,3077,76,0
14,1583,753,64,0
3,2007,1869,23,0
8,301,1346,27,0
34,6209,456,82,0
17,1408,1076,35,0
5,579,1003,20,0
3,1512,805,25,0
6,132494,1115,261,1
5,754,1183,32,0
1,1789,618,5,0
17,1424,737,4,0
15,618,497,22,0
230,309,63,7,1
1,810,727,66,0
12,616,1582,21,0
7,2161,884,36,0
6,4284,1114,32,0
16,2672,309,47,0
18,212,1391,83,0
27,1213,385,38,0
6,833,213,41,0
24,383,1374,8,0
3,1514,3094,31,0
7,2673,701,25,0
57,1051,1837,26,0
12,1199,1012,17,0
10,1998,2295,19,0
9,2313,894,98,0
4,2784,652,87,0
38,4513,1169,9,0
8,3232,1004,14,0
1,1317,423,155,0
15,1146,1446,20,0
11,1594,625,13,0
6,3378,1912,30,0
10,2271,870,48,0
13,1285,2011,29,0
10,403,460,64,0
3,1361,2501,55,0
9,591,3121,36,0
26,1181,2151,18,0
2,4744,1156,27,0
4,130,1060,53,0
6,136335,2001,370,1
247,140,349,8,1
4,584,259,7,0
11,621,1181,6,0
15,4032,1580,24,0
4,154,3129,27,0
6,10111,1963,1962,1
3,11759,896,1472,1
21,2970,822,17,0
17,317,738,25,0
1,3871,566,13,0
17,347,280,100,0
4,5279,780,102,0
2,1302,166,19,0
6,2539,397,70,0
11,1718,1572,13,0
23,2603,269,41,0
17,3972,1023,48,0
2,760,728,137,0
39,1530,1397,100,0
11,1937,712,84,0
14,1292,761,9,0
11,1819,801,42,0
2,973,1318,70,0
2,656,775,37,0
10,745,4372,43,0
5,932,1256,62,0
2,927,990,14,0
5,679,178,97,0
17,1200,2344,18,0
8,227,1165,15,0
5,4669,845,133,0
9,3174,2092,17,0
3,3872,3547,35,0
284,330,171,12,1
1,2548,552,20,0
18,4691,2926,33,0
6,4504,222,45,0
9,3749,818,40,0
3,990,472,38,0
11,1804,1429,10,0
7,582,1165,49,0
262,91,369,11,1
8,1378,551,51,0
6,3854,1025,12,0
14,5421,1293,43,0
3,622,130,26,0
11,1225,866,20,0
40,302,1644,3,0
10,3956,281,63,0
20,542,1951,20,0
9,2759,1530,74,0
2,1381,847,43,0
27,2985,850,9,0
22,1470,1212,32,0
4,2129,831,41,0
6,14834,2180,1834,1
8,2169,161,95,0
12,1961,268,52,0
17,504,978,34,0
9,2610,1219,26,0
6,1210,3372,10,0
7,251,530,47,0
13,981,1114,51,0
7,2019,761,115,0
8,1998,1092,84,0
3,2496,760,35,0
3,559,1577,37,0
4,374,879,22,0
13,1559,839,14,0
222,125,265,3,1
3,2167,325,18,0
13,1803,397,18,0
26,1004,753,106,0
7,1967,393,51,0
13,1112,2118,41,0
20,2047,2199,22,0
19,1673,463,6,0
5,201,794,23,0
16,994,422,13,0
17,2053,2118,31,0
6,2277,3097,24,0
12,1354,865,31,0
18,6005,1003,42,0
7,1543,806,14,0
33,1562,1463,7,0
7,3584,1138,18,0
21,1968,2215,81,0
1,2454,1310,31,0
10,2207,507,83,0
3,923,185,39,0
10,79,529,32,0
26,965,493,73,0
23,1645,2263,35,0
13,2416,1111,37,0
16,235114,2189,189,1
4,1384,480,5,0
11,1234,2219,43,0
8,1649,1009,16,0
10,132,1532,63,0
5,11849,4346,1046,1
6,721,1562,16,0
16,834,227,45,0
27,602,1822,40,0
6,1550,684,45,0
18,603,1029,29,0
8,3208,850,24,0
4,1835,1176,33,0
7,2698,1093,73,0
15,1025,2220,29,0
10,1498,548,162,0
5,1952,1310,8,0
4,2494,1064,9,0
16,2018,827,2,0
6,1641,1319,31,0
2,3445,914,29,0
12,1350,719,66,0
11,209089,1853,167,1
28,2566,2991,102,0
9,1849,1077,35,0
2,3011,491,44,0
6,813,598,19,0
11,2063,1347,10,0
5,648,488,19,0
6,858,618,19,0
5,2264,3188,26,0
10,1729,1364,39,0
5,2469,1079,8,0
212,263,173,11,1
7,1387,1863,7,0
7,1897,1320,2,0
3,9032,4112,901,1
8,2043,1033,23,0
6,1114,1678,43,0
3,1131,397,23,0
4,2014,1343,11,0
5,2545,793,22,0
11,1610,436,43,0
8,868,510,28,0
10,1167,128,28,0
11,1932,2176,40,0
4,8639,2239,1006,1
3,3189,2559,34,0
7,1141,855,28,0
271,145,154,12,1
12,191964,1591,220,1
24,1728,671,45,0
13,680,2516,27,0
21,476,201,36,0
9,253,610,45,0
2,5963,4508,1170,1
15,2238,375,30,0
7,1816,2510,18,0
10,6982,1622,39,0
26,2971,1739,70,0
4,1790,1018,2,0
32,1822,163,86,0
6,1060,342,19,0
21,522,3279,68,0
17,830,3097,29,0
11,1210,350,86,0
4,713,2449,146,0
14,1028,853,21,0
12,1638,1682,65,0
18,882,1239,5,0
7,1408,1285,52,0
7,787,987,31,0
25,2328,337,62,0
9,207,3137,29,0
60,2380,1199,48,0
7,2415,139,35,0
10,502,1902,42,0
5,13944,3042,1749,1
12,367,612,28,0
8,2194,420,38,0
5,6011,4960,666,1
9,800,1399,29,0
3,2345,482,41,0
12,318,2395,38,0
11,2856,720,31,0
21,3535,1020,98,0
13,1287,713,19,0
11,1858,1442,19,0
14,339,1338,25,0
17,899,1093,19,0
1,1910,2291,33,0
14,1944,533,21,0
15,1151,2406,37,0
10,3649,3618,20,0
10,608,733,37,0
16,1443,1640,12,0
13,1401,356,21,0
16,2789,1752,50,0
15,2331,2552,7,0
9,1785,177,44,0
18,1579,744,18,0
264,62,62,5,1
5,254,1007,101,0
4,1664,650,11,0
9,814,647,73,0
12,1126,473,11,0
2,699,163,13,0
11,1171,2552,57,0
11,4677,1939,36,0
42,514,747,20,0
8,2315,569,38,0
12,599,960,15,0
5,3036,424,33,0
20,2202,2114,9,0
19,1425,4665,38,0
1,1033,884,22,0
3,1912,210,6,0
2,9823,4992,1125,1
8,5216,619,49,0
11,321,2302,7,0
10,1562,1182,49,0
19,3847,565,30,0
245,269,306,5,1
15,2840,2218,40,0
30,949,1726,20,0
15,1721,1155,10,0
28,2782,2211,35,0
20,1187,1546,7,0
13,781,2090,28,0
37,3594,2662,20,0
4,1887,770,40,0
5,1366,1191,45,0
10,1587,483,59,0
6,1201,383,76,0
7,2627,364,38,0
8,1384,1082,9,0
15,529,1931,62,0
19,1648,1967,51,0
5,765,836,29,0
13,1679,338,40,0
19,1478,355,87,0
26,2044,1514,5,0
15,595,1744,14,0
16,2107,1249,18,0
12,582,1357,4,0
17,1130,1632,44,0
3,534,1472,28,0
13,1602,3207,10,0
16,2486,1234,24,0
10,2881,717,73,0
9,1941,724,8,0
7,1121,790,3,0
11,1637,2319,39,0
12,127382,2269,317,1
10,867,1027,34,0
14,1929,587,15,0
11,2120,139,76,0
8,2978,993,34,0
10,1531,1680,13,0
6,1337,609,43,0
27,1166,3276,11,0
20,2657,331,16,0
11,821,2319,9,0
15,3995,2157,71,0
4,2186,4304,84,0
